t_rel target_x target_y target_z filtered_x filtered_y filtered_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy solve_ok time_cost dx_raw dy_raw dpos_raw dx_flt dy_flt dpos_flt dyaw mutation res_x res_y res_norm yaw_from_neg90 err_raw_x err_raw_y err_flt_x err_flt_y
0.000000 2.968680 -0.152883 0.194763 2.968680 -0.152883 0.194763 0.423143 0.423143 0.000000 0.000000 0.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 nan nan nan 1.993939 0.025961 -0.181423 0.025961 -0.181423
0.016667 2.968710 -0.138843 0.194751 2.966880 -0.138927 0.194629 0.363168 0.392423 3.207080 -0.039511 0.259959 0.000220 0.001097 1 0.274784 0.000030 0.014040 0.014040 -0.001800 0.013956 0.014072 -0.059975 0 -0.330717 0.143672 0.360577 1.933964 0.025991 -0.167383 0.024161 -0.167467
0.033333 2.935810 -0.123305 0.192231 2.957800 -0.130831 0.193840 0.335637 0.372661 3.199990 -0.036152 0.260038 -0.001256 0.033003 1 0.282454 -0.032900 0.015538 0.036385 -0.009080 0.008096 0.012165 -0.027531 0 -0.349829 0.158375 0.384009 1.906433 -0.006909 -0.151845 0.015081 -0.159371
0.050000 2.920150 -0.108213 0.191838 2.948800 -0.120945 0.193428 0.290123 0.350276 3.193130 -0.031680 0.260130 -0.003114 0.112671 1 0.272532 -0.015660 0.015092 0.021749 -0.009000 0.009886 0.013369 -0.045514 0 -0.347395 0.172726 0.387966 1.860919 -0.022569 -0.136753 0.006081 -0.149485
0.066667 2.886900 -0.092357 0.189928 2.936710 -0.108336 0.192866 0.269420 0.331426 3.182840 -0.023638 0.260294 -0.010155 0.228534 1 0.279952 -0.033250 0.015856 0.036837 -0.012090 0.012609 0.017469 -0.020703 0 -0.365223 0.182185 0.408141 1.840216 -0.055819 -0.120898 -0.006009 -0.136876
0.083333 2.906890 -0.076946 0.191257 2.930480 -0.092845 0.192627 0.177542 0.299674 3.179270 -0.015973 0.260402 -0.012379 0.349093 1 0.262146 0.019990 0.015411 0.025241 -0.006230 0.015491 0.016696 -0.091878 0 -0.318370 0.195335 0.373517 1.748338 -0.035829 -0.105487 -0.012239 -0.121386
0.100000 2.908370 -0.061601 0.191652 2.925740 -0.075970 0.192550 0.128777 0.266193 3.177130 -0.007425 0.260568 -0.015486 0.444918 1 0.266297 0.001480 0.015346 0.015417 -0.004740 0.016875 0.017528 -0.048765 0 -0.302222 0.204235 0.364761 1.699573 -0.034349 -0.090141 -0.016979 -0.104511
0.116667 2.868260 -0.045007 0.189315 2.916540 -0.058326 0.192226 0.100981 0.234037 3.170270 0.002164 0.260840 -0.031872 0.513483 1 0.199062 -0.040110 0.016594 0.043407 -0.009200 0.017644 0.019898 -0.027796 0 -0.328305 0.212340 0.390989 1.671777 -0.074459 -0.073547 -0.026179 -0.086867
0.133333 2.877950 -0.030566 0.190246 2.910020 -0.041161 0.192095 0.070763 0.201806 3.165790 0.011166 0.261063 -0.045012 0.552341 1 0.203453 0.009690 0.014440 0.017390 -0.006520 0.017166 0.018362 -0.030218 0 -0.306298 0.218677 0.376348 1.641560 -0.064769 -0.059107 -0.032699 -0.069701
0.150000 2.832770 -0.014528 0.187875 2.898740 -0.023974 0.191775 0.041974 0.169231 3.156350 0.020043 0.261347 -0.074122 0.573750 1 0.247157 -0.045180 0.016039 0.047942 -0.011280 0.017186 0.020557 -0.028789 0 -0.334547 0.226546 0.404035 1.612770 -0.109949 -0.043068 -0.043979 -0.052515
0.166667 2.833110 0.002170 0.188497 2.888580 -0.006769 0.191606 0.047130 0.141798 3.147580 0.030204 0.261622 -0.101509 0.592605 1 0.278247 0.000340 0.016698 0.016701 -0.010160 0.017205 0.019981 0.005156 0 -0.326796 0.233297 0.401526 1.617927 -0.109609 -0.026370 -0.054139 -0.035309
0.183333 2.858220 0.017358 0.190475 2.882660 0.010142 0.191657 -0.024824 0.105907 3.142960 0.037813 0.261771 -0.115302 0.591672 1 0.209707 0.025110 0.015188 0.029346 -0.005920 0.016910 0.017917 -0.071954 0 -0.278243 0.241235 0.368257 1.545973 -0.084499 -0.011183 -0.060059 -0.018399
0.200000 2.858620 0.034197 0.191417 2.877290 0.026953 0.191901 -0.008014 0.077399 3.138450 0.047208 0.261952 -0.127636 0.596670 1 0.285672 0.000400 0.016839 0.016844 -0.005370 0.016812 0.017648 0.016809 0 -0.277731 0.248933 0.372964 1.562782 -0.084099 0.005657 -0.065429 -0.001587
0.216667 2.872250 0.049416 0.192988 2.874280 0.043361 0.192327 -0.041093 0.047164 3.136050 0.055716 0.262055 -0.131475 0.594375 1 0.275437 0.013630 0.015219 0.020431 -0.003010 0.016408 0.016682 -0.033079 0 -0.253034 0.255534 0.359616 1.529703 -0.070469 0.020876 -0.068439 0.014821
0.233333 2.882920 0.065459 0.194258 2.872800 0.059296 0.192852 0.019707 0.031288 3.134850 0.067498 0.262178 -0.129745 0.606463 1 0.244980 0.010670 0.016043 0.019267 -0.001480 0.015935 0.016004 0.060800 0 -0.257096 0.260088 0.365711 1.590503 -0.059799 0.036919 -0.069919 0.030756
0.250000 2.884730 0.081340 0.194761 2.872170 0.075756 0.193357 -0.107006 -0.003387 3.134360 0.074868 0.262185 -0.125832 0.596392 1 0.268870 0.001810 0.015881 0.015983 -0.000630 0.016460 0.016472 -0.126713 0 -0.221628 0.267157 0.347119 1.463790 -0.057989 0.052799 -0.070549 0.047216
0.266667 2.913660 0.097774 0.197364 2.875490 0.092000 0.194151 -0.125059 -0.036327 3.137490 0.082478 0.262176 -0.108461 0.587826 1 0.272110 0.028930 0.016434 0.033272 0.003320 0.016243 0.016579 -0.018053 0 -0.191128 0.275425 0.335244 1.445737 -0.029059 0.069234 -0.067229 0.063459
0.283333 2.891320 0.112386 0.197266 2.876480 0.108307 0.194987 -0.220859 -0.080643 3.137780 0.087189 0.262153 -0.102191 0.567085 1 0.273425 -0.022340 0.014612 0.026694 0.000990 0.016307 0.016337 -0.095800 0 -0.189031 0.280982 0.338650 1.349937 -0.051399 0.083846 -0.066239 0.079767
0.300000 2.898860 0.127619 0.197851 2.878900 0.124320 0.195739 -0.267071 -0.126545 3.138920 0.091239 0.262113 -0.092746 0.545345 1 0.211127 0.007540 0.015233 0.016997 0.002420 0.016013 0.016195 -0.046212 0 -0.170886 0.289200 0.335915 1.303725 -0.043859 0.099079 -0.063819 0.095780
0.316667 2.929700 0.143799 0.200875 2.885320 0.140065 0.196831 -0.297095 -0.171024 3.143530 0.095469 0.262035 -0.071370 0.526306 1 0.269247 0.030840 0.016180 0.034827 0.006420 0.015745 0.017004 -0.030024 0 -0.137121 0.298885 0.328838 1.273701 -0.013019 0.115259 -0.057399 0.111525
0.333333 2.968900 0.160396 0.204554 2.896290 0.155612 0.198306 -0.320797 -0.213119 3.152290 0.100212 0.261924 -0.037074 0.510955 1 0.277971 0.039200 0.016597 0.042569 0.010970 0.015547 0.019028 -0.023702 0 -0.100799 0.308746 0.324784 1.249999 0.026181 0.131856 -0.046429 0.127072
0.350000 2.977490 0.175113 0.205796 2.908020 0.171008 0.199800 -0.381990 -0.259142 3.161040 0.103932 0.261760 -0.004981 0.493133 1 0.268179 0.008590 0.014717 0.017040 0.011730 0.015396 0.019355 -0.061193 0 -0.085974 0.314075 0.325629 1.188806 0.034771 0.146573 -0.034699 0.142468
0.366667 2.960030 0.187849 0.205587 2.917440 0.186057 0.201188 -0.448234 -0.309305 3.166550 0.106449 0.261528 0.014566 0.472594 1 0.291452 -0.017460 0.012736 0.021612 0.009420 0.015049 0.017754 -0.066244 0 -0.093180 0.317093 0.330500 1.122562 0.017311 0.159309 -0.025279 0.157517
0.383333 3.015300 0.204621 0.210151 2.932710 0.200841 0.202971 -0.470623 -0.356003 3.177600 0.109780 0.261272 0.050457 0.456572 1 0.278615 0.055270 0.016772 0.057759 0.015270 0.014784 0.021254 -0.022389 0 -0.043828 0.327709 0.330627 1.100173 0.072581 0.176081 -0.010009 0.172301
0.400000 3.036330 0.219060 0.212407 2.949570 0.215376 0.204863 -0.520435 -0.403954 3.189540 0.112797 0.260977 0.086666 0.440825 1 0.278739 0.021030 0.014439 0.025510 0.016860 0.014535 0.022260 -0.049812 0 -0.023437 0.332687 0.333512 1.050361 0.093611 0.190520 0.006851 0.186836
0.416667 3.063010 0.233524 0.215188 2.968340 0.229617 0.206918 -0.561324 -0.451544 3.202880 0.115875 0.260664 0.124514 0.426521 1 0.284300 0.026680 0.014464 0.030348 0.018770 0.014241 0.023561 -0.040889 0 -0.001117 0.338314 0.338316 1.009472 0.120291 0.204984 0.025621 0.201077
0.433333 3.096380 0.248070 0.218963 2.989640 0.243613 0.209271 -0.611907 -0.500280 3.218060 0.118740 0.260330 0.165147 0.412622 1 0.260646 0.033370 0.014546 0.036403 0.021300 0.013996 0.025487 -0.050583 0 0.027861 0.342424 0.343556 0.958889 0.153661 0.219530 0.046921 0.215073
0.450000 3.160160 0.264776 0.223400 3.016220 0.257483 0.211806 -0.642284 -0.546885 3.238360 0.122237 0.260073 0.217419 0.401549 1 0.284553 0.063780 0.016706 0.065932 0.026580 0.013870 0.029981 -0.030377 0 0.077590 0.350787 0.359266 0.928512 0.217441 0.236236 0.073501 0.228943
0.466667 3.156380 0.275291 0.224853 3.040670 0.270807 0.214377 -0.703096 -0.596192 3.255590 0.124968 0.259733 0.257581 0.389097 1 0.235885 -0.003780 0.010515 0.011174 0.024450 0.013324 0.027845 -0.060812 0 0.068729 0.348459 0.355172 0.867700 0.213661 0.246751 0.097951 0.242267
0.483333 2.974340 -0.201821 0.135066 3.074120 -0.151196 0.198589 0.660738 0.900651 3.262290 0.086240 0.302956 0.215942 0.244782 1 0.201746 -0.182040 -0.477112 0.510661 0.033450 -0.422003 0.423327 1.363834 1 -0.473874 -0.048865 0.476387 2.231534 0.031621 -0.230361 0.131401 -0.179736
0.500000 2.999000 -0.191634 0.135978 3.046070 -0.159722 0.185717 0.599287 0.828157 3.258420 0.071615 0.314024 0.185953 0.188780 1 0.198141 0.024660 0.010187 0.026681 -0.028050 -0.008526 0.029317 -0.061451 0 -0.436546 -0.003948 0.436564 2.170083 0.056281 -0.220174 0.103351 -0.188262
