t_rel target_x target_y target_z filtered_x filtered_y filtered_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy solve_ok time_cost dx_raw dy_raw dpos_raw dx_flt dy_flt dpos_flt dyaw mutation res_x res_y res_norm yaw_from_neg90 err_raw_x err_raw_y err_flt_x err_flt_y
0.000000 2.969840 -0.094751 0.194734 2.969840 -0.094751 0.194734 -1.407100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 nan nan nan 0.163696 0.005181 -0.148250 0.005181 -0.148250
0.016667 2.923590 -0.077242 0.191683 2.923780 -0.077652 0.191686 -1.402840 0.167319 3.180440 -0.034302 0.260299 -0.007625 0.017072 1 0.182351 -0.046250 0.017509 0.049453 -0.046060 0.017099 0.049131 0.004260 0 -0.000214 0.000574 0.000613 0.167956 -0.041069 -0.130741 -0.040879 -0.131152
0.033333 2.916700 -0.061741 0.191975 2.919050 -0.066674 0.191923 -1.461490 0.137491 3.177020 -0.030980 0.260426 -0.100666 0.222867 1 0.093374 -0.006890 0.015500 0.016962 -0.004730 0.010978 0.011954 -0.058650 0 -0.001448 -0.002352 0.002762 0.109306 -0.047959 -0.115241 -0.045609 -0.120174
0.050000 2.875140 -0.045685 0.189768 2.889060 -0.051576 0.190206 -1.431050 0.137452 3.149360 -0.015570 0.262775 -0.737712 0.494057 1 0.091658 -0.041560 0.016057 0.044554 -0.029990 0.015098 0.033576 0.030440 0 -0.014007 0.006488 0.015436 0.139746 -0.089519 -0.099185 -0.075599 -0.105075
0.066667 2.808060 -0.029026 0.185524 2.808060 -0.029026 0.185524 -1.739730 0.137452 3.149360 -0.015570 0.000000 -0.737712 0.494057 0 0.091658 -0.067080 0.016659 0.069118 -0.081000 0.022550 0.084080 -0.308680 0 nan nan nan 0.168934 -0.156599 -0.082526 -0.156599 -0.082526
0.083333 2.837050 -0.014201 0.187625 2.837050 -0.014201 0.187625 -1.563260 0.137452 3.149360 -0.015570 0.000000 -0.737712 0.494057 0 0.091658 0.028990 0.014825 0.032561 0.028990 0.014825 0.032561 0.176470 0 nan nan nan 0.007536 -0.127609 -0.067701 -0.127609 -0.067701
0.100000 2.838740 0.001918 0.188225 2.838790 0.001818 0.188225 -1.539720 0.028899 3.098660 0.009330 0.259981 0.000162 0.002544 1 0.089919 0.001690 0.016119 0.016208 0.001740 0.016019 0.016113 0.023540 0 -0.000065 0.000666 0.000669 0.031076 -0.125919 -0.051582 -0.125869 -0.051682
0.116667 2.842250 0.017357 0.190407 2.841130 0.012131 0.190030 -1.542190 0.028556 3.100550 0.019541 0.259526 0.046883 0.220823 1 0.091379 0.003510 0.015439 0.015833 0.002340 0.010313 0.010575 -0.002470 0 0.001120 0.005239 0.005358 0.028606 -0.122409 -0.036143 -0.123529 -0.041369
0.133333 2.854030 0.033724 0.191441 2.850130 0.028159 0.191372 -1.610700 0.000831 3.109090 0.028374 0.258959 0.231961 0.461844 1 0.211317 0.011780 0.016367 0.020165 0.009000 0.016028 0.018382 -0.068510 0 0.003693 -0.004980 0.006200 0.039904 -0.110629 -0.019776 -0.114529 -0.025341
0.150000 2.866550 0.049279 0.192966 2.862240 0.044809 0.192870 -1.592520 -0.008902 3.121190 0.042503 0.258955 0.387902 0.610768 1 0.260078 0.012520 0.015555 0.019968 0.012110 0.016650 0.020588 0.018180 0 0.004254 0.001151 0.004407 0.021724 -0.098109 -0.004221 -0.102419 -0.008691
0.166667 2.883150 0.065440 0.194287 2.877780 0.061919 0.194253 -1.620210 -0.025292 3.136470 0.055375 0.258774 0.527296 0.674266 1 0.177771 0.016600 0.016161 0.023168 0.015540 0.017110 0.023114 -0.027690 0 0.005138 -0.002716 0.005812 0.049414 -0.081509 0.011940 -0.086879 0.008419
0.183333 2.896240 0.081113 0.196353 2.896240 0.081113 0.196353 -1.453320 -0.025292 3.136470 0.055375 0.000000 0.527296 0.674266 0 0.177771 0.013090 0.015673 0.020420 0.018460 0.019194 0.026630 0.166890 0 nan nan nan 0.117476 -0.068419 0.027613 -0.068419 0.027613
0.200000 2.927460 0.097855 0.198723 2.927420 0.097541 0.198720 -1.425680 0.142437 3.184380 0.134391 0.259586 0.002987 0.008359 1 0.198051 0.031220 0.016743 0.035426 0.031180 0.016429 0.035243 0.027640 0 -0.000062 0.001002 0.001004 0.145116 -0.037199 0.044356 -0.037239 0.044042
