t_rel target_x target_y target_z filtered_x filtered_y filtered_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy solve_ok time_cost dx_raw dy_raw dpos_raw dx_flt dy_flt dpos_flt dyaw mutation res_x res_y res_norm yaw_from_neg90 err_raw_x err_raw_y err_flt_x err_flt_y
0.000000 2.956260 -0.152395 0.192791 2.956260 -0.152395 0.192791 -1.135860 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0 nan nan nan 0.434936 0.008888 -0.210793 0.008888 -0.210793
0.016667 2.962340 -0.138583 0.193871 2.962790 -0.139302 0.193870 -1.204740 0.371804 3.204030 -0.045234 0.258929 0.001196 0.021628 1 0.132075 0.006080 0.013812 0.015091 0.006530 0.013093 0.014631 -0.068880 0 0.000084 -0.000670 0.000675 0.366056 0.014968 -0.196981 0.015418 -0.197700
0.033333 2.932920 -0.123205 0.191310 2.942790 -0.128267 0.191753 -1.238640 0.351328 3.188120 -0.038345 0.261292 -0.409407 0.235390 1 0.177591 -0.029420 0.015378 0.033197 -0.020000 0.011035 0.022842 -0.033900 0 -0.008190 0.000343 0.008197 0.332156 -0.014452 -0.181603 -0.004582 -0.186665
0.050000 2.920380 -0.108051 0.190290 2.925500 -0.113052 0.190335 -1.278910 0.326690 3.173780 -0.028928 0.262144 -0.639691 0.454772 1 0.179941 -0.012540 0.015154 0.019670 -0.017290 0.015215 0.023031 -0.040270 0 -0.002344 -0.003689 0.004371 0.291886 -0.026992 -0.166449 -0.021872 -0.171450
0.066667 2.886220 -0.092046 0.188926 2.896050 -0.096216 0.188948 -1.306290 0.302013 3.147320 -0.017936 0.263180 -0.981077 0.574977 1 0.184038 -0.034160 0.016005 0.037723 -0.029450 0.016836 0.033923 -0.027380 0 -0.007073 -0.005307 0.008842 0.264506 -0.061152 -0.150444 -0.051322 -0.154615
0.083333 2.919200 -0.077600 0.193806 2.919200 -0.077600 0.193806 -1.419350 0.302013 3.147320 -0.017936 0.000000 -0.981077 0.574977 0 0.184038 0.032980 0.014446 0.036005 0.023150 0.018616 0.029707 -0.113060 0 nan nan nan 0.151446 -0.028172 -0.135998 -0.028172 -0.135998
0.100000 2.926530 -0.062036 0.195399 2.926530 -0.062036 0.195399 -1.547790 0.302013 3.147320 -0.017936 0.000000 -0.981077 0.574977 0 0.184038 0.007330 0.015565 0.017204 0.007330 0.015565 0.017204 -0.128440 0 nan nan nan 0.023006 -0.020842 -0.120434 -0.020842 -0.120434
0.116667 2.872920 -0.045135 0.190554 2.873450 -0.045315 0.190559 -1.493640 0.072185 3.133310 -0.026524 0.260547 -0.005305 0.004141 1 0.179427 -0.053610 0.016901 0.056211 -0.053080 0.016721 0.055651 0.054150 0 -0.000618 0.001472 0.001596 0.077156 -0.074452 -0.103533 -0.073922 -0.103713
0.133333 2.871010 -0.030416 0.189106 2.871820 -0.035482 0.189356 -1.486290 0.078282 3.130980 -0.015154 0.259953 -0.039061 0.216026 1 0.176526 -0.001910 0.014718 0.014842 -0.001630 0.009833 0.009967 0.007350 0 -0.000945 0.006679 0.006745 0.084506 -0.076362 -0.088815 -0.075552 -0.093880
0.150000 2.846580 -0.014292 0.189321 2.854710 -0.019822 0.189194 -1.552300 0.054104 3.115140 -0.005718 0.260816 -0.404914 0.458935 1 0.193764 -0.024430 0.016125 0.029272 -0.017110 0.015660 0.023195 -0.066010 0 -0.007789 -0.003750 0.008645 0.018496 -0.100792 -0.072690 -0.092662 -0.078220
0.166667 2.852200 0.001848 0.188857 2.850810 -0.002553 0.188829 -1.574480 0.031778 3.111800 0.005744 0.261118 -0.348663 0.588714 1 0.180951 0.005620 0.016140 0.017090 -0.003900 0.017269 0.017704 -0.022180 0 0.001516 -0.004858 0.005089 0.003684 -0.095172 -0.056550 -0.096562 -0.060951
0.183333 2.855590 0.017678 0.192304 2.851750 0.014580 0.191260 -1.614570 0.002398 3.112950 0.015206 0.261200 -0.243575 0.619407 1 0.599602 0.003390 0.015830 0.016189 0.000940 0.017132 0.017158 -0.040090 0 0.003590 -0.008958 0.009650 0.043774 -0.091782 -0.040720 -0.095622 -0.043819
0.200000 2.865510 0.033827 0.190083 2.858320 0.030732 0.190519 -1.576160 -0.004524 3.119580 0.029551 0.261263 -0.106452 0.674308 1 0.196624 0.009920 0.016149 0.018953 0.006570 0.016153 0.017438 0.038410 0 0.007189 0.002875 0.007743 0.005364 -0.081862 -0.024571 -0.089052 -0.027666
0.216667 2.862330 0.049210 0.192475 2.862330 0.049210 0.192475 -1.463920 -0.004524 3.119580 0.029551 0.000000 -0.106452 0.674308 0 0.196624 -0.003180 0.015383 0.015708 0.004010 0.018477 0.018908 0.112240 0 nan nan nan 0.106876 -0.085042 -0.009188 -0.085042 -0.009188
0.233333 2.879880 0.065607 0.194806 2.879880 0.065607 0.194806 -1.619390 -0.004524 3.119580 0.029551 0.000000 -0.106452 0.674308 0 0.196624 0.017550 0.016397 0.024018 0.017550 0.016397 0.024018 -0.155470 0 nan nan nan 0.048594 -0.067492 0.007208 -0.067492 0.007208
0.250000 2.873620 0.081015 0.194184 2.874250 0.081086 0.194185 -1.694410 -0.116794 3.132540 0.050781 0.260060 -0.000702 -0.002740 1 0.178763 -0.006260 0.015408 0.016631 -0.005630 0.015479 0.016471 -0.075020 0 -0.000844 -0.001831 0.002017 0.123614 -0.073752 0.022617 -0.073122 0.022687
0.266667 2.909060 0.097696 0.197239 2.897770 0.092178 0.196711 -1.709530 -0.128534 3.155440 0.058875 0.259811 0.471392 0.227248 1 0.176265 0.035440 0.016681 0.039169 0.023520 0.011092 0.026004 -0.015120 0 0.010935 0.002891 0.011311 0.138734 -0.038312 0.039297 -0.049602 0.033780
