sec nanosec target_world_x target_world_y target_world_z filtered_world_x filtered_world_y filtered_world_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy method solve_ok time_cost
0 0 2.95626 -0.152395 0.192791 2.95626 -0.152395 0.192791 -1.13586 0 0 0 0 0 0 ekf 0 0
0 16666666 2.96234 -0.138583 0.193871 2.96279 -0.139302 0.19387 -1.20474 0.371804 3.20403 -0.0452335 0.258929 0.00119569 0.0216281 ekf 1 0.168145
0 33333333 2.93292 -0.123205 0.19131 2.94279 -0.128267 0.191753 -1.23864 0.351328 3.18812 -0.0383452 0.261292 -0.409407 0.23539 ekf 1 0.168731
0 50000000 2.92038 -0.108051 0.19029 2.9255 -0.113052 0.190335 -1.27891 0.32669 3.17378 -0.0289276 0.262144 -0.639691 0.454772 ekf 1 0.176152
0 66666666 2.88622 -0.0920462 0.188926 2.89605 -0.0962165 0.188948 -1.30629 0.302013 3.14732 -0.0179357 0.26318 -0.981077 0.574977 ekf 1 0.197213
0 83333333 2.9192 -0.0776002 0.193806 2.9192 -0.0776002 0.193806 -1.41935 0.302013 3.14732 -0.0179357 0 -0.981077 0.574977 ekf 0 0.197213
0 100000000 2.92653 -0.0620356 0.195399 2.92653 -0.0620356 0.195399 -1.54779 0.302013 3.14732 -0.0179357 0 -0.981077 0.574977 ekf 0 0.197213
0 116666666 2.87292 -0.0451346 0.190554 2.87345 -0.0453148 0.190559 -1.49364 0.0721849 3.13331 -0.0265236 0.260547 -0.00530455 0.00414094 ekf 1 0.195591
0 133333333 2.87101 -0.0304165 0.189106 2.87182 -0.0354823 0.189356 -1.48629 0.0782815 3.13098 -0.0151536 0.259953 -0.0390607 0.216026 ekf 1 0.17606
0 150000000 2.84658 -0.0142918 0.189321 2.85471 -0.0198219 0.189194 -1.5523 0.0541042 3.11514 -0.00571753 0.260816 -0.404914 0.458935 ekf 1 0.181957
0 166666666 2.8522 0.00184792 0.188857 2.85081 -0.00255259 0.188829 -1.57448 0.0317776 3.1118 0.00574372 0.261118 -0.348663 0.588714 ekf 1 0.186067
0 183333333 2.85559 0.017678 0.192304 2.85175 0.0145795 0.19126 -1.61457 0.00239797 3.11295 0.0152058 0.2612 -0.243575 0.619407 ekf 1 0.18228
0 200000000 2.86551 0.0338274 0.190083 2.85832 0.0307325 0.190519 -1.57616 -0.0045238 3.11958 0.0295506 0.261263 -0.106452 0.674308 ekf 1 0.192492
0 216666666 2.86233 0.0492099 0.192475 2.86233 0.0492099 0.192475 -1.46392 -0.0045238 3.11958 0.0295506 0 -0.106452 0.674308 ekf 0 0.192492
0 233333333 2.87988 0.0656066 0.194806 2.87988 0.0656066 0.194806 -1.61939 -0.0045238 3.11958 0.0295506 0 -0.106452 0.674308 ekf 0 0.192492
0 250000000 2.87362 0.081015 0.194184 2.87425 0.0810856 0.194185 -1.69441 -0.116794 3.13254 0.0507811 0.26006 -0.000702059 -0.00274013 ekf 1 0.178421
0 266666666 2.90906 0.0976955 0.197239 2.89777 0.0921779 0.196711 -1.70953 -0.128534 3.15544 0.0588752 0.259811 0.471392 0.227248 ekf 1 0.171974
0 283333333 2.90537 0.112781 0.198536 2.90572 0.107764 0.198468 -1.78533 -0.16353 3.16237 0.0654159 0.26012 0.455362 0.44001 ekf 1 0.176822
0 300000000 2.91462 0.128277 0.199277 2.91456 0.124583 0.199462 -1.83482 -0.202274 3.16957 0.0722859 0.26032 0.453189 0.523359 ekf 1 0.176631
0 316666666 2.92963 0.143704 0.201516 2.92735 0.140994 0.20134 -1.87828 -0.243992 3.17997 0.0781038 0.260329 0.503035 0.526017 ekf 1 0.180663
0 333333333 2.97525 0.160644 0.205275 2.95988 0.15753 0.204573 -1.90327 -0.282428 3.2098 0.0850068 0.260231 0.785038 0.522744 ekf 1 0.173992
0 350000000 2.97156 0.174708 0.205822 2.97314 0.173186 0.206017 -1.96367 -0.330303 3.21926 0.0888 0.260186 0.747931 0.47817 ekf 1 0.096878
0 366666666 2.95694 0.187307 0.206626 2.97123 0.18755 0.207007 -2.02996 -0.386592 3.21161 0.0896992 0.259528 0.563333 0.41207 ekf 1 0.181556
0 383333333 3.0209 0.205159 0.210131 3.00389 0.20275 0.209659 -2.05741 -0.436304 3.24024 0.0925463 0.26078 0.716842 0.379917 ekf 1 0.180416
0 400000000 3.03447 0.219033 0.211666 3.02757 0.217422 0.211601 -2.10627 -0.486919 3.25852 0.0951454 0.261328 0.761764 0.350923 ekf 1 0.183188
0 416666666 3.06474 0.233643 0.215173 3.05509 0.23183 0.214583 -2.1484 -0.536112 3.28059 0.0978496 0.262296 0.820956 0.328697 ekf 1 0.203435
0 433333333 3.10248 0.248372 0.219831 3.08845 0.246182 0.218705 -2.1986 -0.587003 3.30818 0.100012 0.263908 0.90068 0.307624 ekf 1 0.176791
0 450000000 3.16386 0.264956 0.224411 3.13638 0.260877 0.223192 -2.23079 -0.633449 3.35235 0.102266 0.267957 1.05313 0.293222 ekf 1 0.180392
0 466666666 3.15708 0.275376 0.225139 3.15875 0.274536 0.225291 -2.29294 -0.684109 3.36605 0.105484 0.267495 1.03467 0.282434 ekf 1 0.187657
0 483333333 2.96828 -0.201372 0.134797 2.96828 -0.201372 0.134797 -0.902474 -0.684109 3.36605 0.105484 0 1.03467 0.282434 ekf 0 0.187657
0 500000000 2.99856 -0.191627 0.135391 2.99883 -0.192747 0.13539 -0.964764 0.611105 3.20983 -0.0449258 0.25763 0.00374123 0.0316927 ekf 1 0.179226
0 516666666 2.96163 -0.176993 0.133923 2.97393 -0.181924 0.134177 -1.00194 0.589196 3.19031 -0.0373008 0.260257 -0.508875 0.240823 ekf 1 0.194706
0 533333333 2.93799 -0.162726 0.133194 2.94696 -0.167384 0.133247 -1.04613 0.562343 3.16823 -0.0279321 0.261553 -0.912897 0.44633 ekf 1 0.182033
0 550000000 2.95678 -0.150439 0.13425 2.94772 -0.152659 0.133828 -1.10753 0.524554 3.1731 -0.0222459 0.260395 -0.560922 0.486343 ekf 1 0.188075
