sec nanosec target_world_x target_world_y target_world_z filtered_world_x filtered_world_y filtered_world_z raw_yaw filter_yaw center_x center_y center_r center_vx center_vy method solve_ok time_cost
0 0 2.96297 -0.152596 0.194388 2.96297 -0.152596 0.194388 0.427946 0.427946 0 0 0 0 0 ekf 0 0
0 16666666 2.9595 -0.138426 0.194147 2.9598 -0.138305 0.194148 0.372692 0.377662 3.20145 -0.0424411 0.259972 0.000192064 0.000224948 ekf 1 0.217856
0 33333333 2.92952 -0.123051 0.191819 2.9395 -0.128008 0.192222 0.342765 0.359583 3.18479 -0.035796 0.262052 -0.415114 0.209049 ekf 1 0.269502
0 50000000 2.91601 -0.108068 0.191566 2.92145 -0.113094 0.191477 0.295338 0.333067 3.16989 -0.0271462 0.262883 -0.658751 0.428998 ekf 1 0.258578
0 66666666 2.8822 -0.0922175 0.189618 2.89192 -0.0965374 0.18983 0.276288 0.310337 3.14332 -0.0159112 0.264019 -0.996095 0.557075 ekf 1 0.233323
0 83333333 2.90488 -0.0769 0.191124 2.90488 -0.0769 0.191124 0.182121 0.182121 3.14332 -0.0159112 0 -0.996095 0.557075 ekf 0 0.233323
0 100000000 2.90647 -0.0615689 0.191526 2.90669 -0.0615472 0.191526 0.134582 0.138853 3.16415 -0.0255676 0.259955 0.000356299 0.000423387 ekf 1 0.242842
0 116666666 2.86566 -0.0449838 0.189142 2.8791 -0.0504194 0.189555 0.112513 0.125237 3.13949 -0.0176372 0.262446 -0.56026 0.228707 ekf 1 0.209675
0 133333333 2.8749 -0.030561 0.190043 2.87323 -0.0356567 0.189731 0.0878815 0.109647 3.13402 -0.00694709 0.262361 -0.48288 0.45507 ekf 1 0.192913
0 150000000 2.83416 -0.014415 0.187831 2.83416 -0.014415 0.187831 -0.044358 -0.044358 3.13402 -0.00694709 0 -0.48288 0.45507 ekf 0 0.192913
0 166666666 2.83271 0.00216524 0.18847 2.83271 0.00216524 0.18847 0.0499196 0.0499196 3.13402 -0.00694709 0 -0.48288 0.45507 ekf 0 0.192913
0 183333333 2.85845 0.0173589 0.19049 2.85894 0.0173664 0.190488 -0.0246697 -0.0179472 3.11862 0.0127053 0.259727 0.00261885 -0.000242878 ekf 1 0.228159
0 200000000 2.85912 0.0341981 0.19145 2.85904 0.0284705 0.191284 -0.00501398 -0.0116486 3.11976 0.0254333 0.260736 0.00629051 0.238866 ekf 1 0.214258
0 216666666 2.87302 0.0494249 0.193039 2.86847 0.0438495 0.192792 -0.0381879 -0.0226076 3.12853 0.0379693 0.26012 0.213775 0.489284 ekf 1 0.18518
0 233333333 2.88276 0.0654586 0.194247 2.87907 0.0603521 0.194127 0.0176963 -0.00867183 3.1388 0.0580997 0.259747 0.348922 0.691037 ekf 1 0.206233
0 250000000 2.88496 0.0813456 0.194776 2.88496 0.0813456 0.194776 -0.10681 -0.10681 3.1388 0.0580997 0 0.348922 0.691037 ekf 0 0.206233
0 266666666 2.91174 0.097718 0.197235 2.9117 0.0976625 0.197232 -0.130459 -0.128362 3.16931 0.0644129 0.259743 0.00257776 0.00107636 ekf 1 0.265246
0 283333333 2.8906 0.11236 0.197216 2.8906 0.11236 0.197216 -0.222062 -0.222062 3.16931 0.0644129 0 0.00257776 0.00107636 ekf 0 0.265246
0 300000000 2.89838 0.127599 0.197818 2.89858 0.127526 0.197818 -0.267842 -0.263735 3.14954 0.0597586 0.259956 0.000532246 0.000465204 ekf 1 0.235605
0 316666666 2.93032 0.143828 0.200918 2.92004 0.138419 0.200382 -0.296482 -0.280903 3.16953 0.0664317 0.259671 0.431174 0.225419 ekf 1 0.358802
0 333333333 2.96519 0.160202 0.204299 2.95278 0.154312 0.203836 -0.324658 -0.299379 3.20007 0.077984 0.258803 0.998333 0.486539 ekf 1 0.199448
0 350000000 2.97654 0.175058 0.20573 2.97442 0.171276 0.205844 -0.382815 -0.331367 3.21913 0.0870812 0.258794 1.06439 0.581894 ekf 1 0.180695
0 366666666 2.9581 0.187729 0.205453 2.97168 0.186558 0.206162 -0.449591 -0.376393 3.21289 0.0912236 0.259366 0.69547 0.543527 ekf 1 0.187292
0 383333333 3.01271 0.204448 0.209971 3.00161 0.202061 0.209372 -0.472295 -0.416821 3.23898 0.0969626 0.259595 0.887621 0.52365 ekf 1 0.212641
0 400000000 3.03245 0.218783 0.212135 3.02674 0.217088 0.211919 -0.5227 -0.462902 3.25918 0.101085 0.259778 0.949012 0.483354 ekf 1 0.1923
0 416666666 3.05497 0.232917 0.214624 3.05092 0.23159 0.214445 -0.565995 -0.510208 3.27778 0.104631 0.259972 0.975613 0.443666 ekf 1 0.244688
0 433333333 3.09095 0.247639 0.218579 3.0818 0.246001 0.217948 -0.6148 -0.560203 3.3026 0.107512 0.260633 1.04405 0.407249 ekf 1 0.189951
0 450000000 3.15145 0.264051 0.222785 3.12861 0.260793 0.221966 -0.647558 -0.606611 3.34479 0.110788 0.263126 1.21738 0.385076 ekf 1 0.205518
0 466666666 3.14681 0.274461 0.224173 3.15049 0.274248 0.224296 -0.707515 -0.657531 3.35822 0.113847 0.262452 1.17382 0.358754 ekf 1 0.289815
0 483333333 2.96944 -0.201492 0.134844 2.96944 -0.201492 0.134844 0.663199 0.663199 3.35822 0.113847 0 1.17382 0.358754 ekf 0 0.289815
0 500000000 2.99247 -0.191222 0.135682 2.99266 -0.190996 0.135682 0.60316 0.608611 3.20577 -0.042491 0.259747 0.00313769 -0.000106318 ekf 1 0.203385
0 516666666 2.94869 -0.176214 0.133374 2.9632 -0.181011 0.133774 0.565646 0.586286 3.18204 -0.035657 0.262717 -0.601953 0.203763 ekf 1 0.182313
0 533333333 2.92839 -0.162264 0.132097 2.93647 -0.16699 0.132205 0.52555 0.560949 3.15992 -0.026607 0.263883 -0.965337 0.412274 ekf 1 0.248984
0 550000000 2.94945 -0.15026 0.133306 2.93899 -0.152603 0.132742 0.463915 0.523993 3.16634 -0.0212249 0.262577 -0.563414 0.456677 ekf 1 0.186425
0 566666666 2.93922 -0.136278 0.132574 2.93516 -0.138178 0.132433 0.415236 0.48144 3.16747 -0.0168098 0.262102 -0.420456 0.447468 ekf 1 0.186413
0 583333333 2.88577 -0.119834 0.13005 2.90259 -0.123121 0.130571 0.395323 0.444097 3.14076 -0.00980247 0.26375 -0.702929 0.456561 ekf 1 0.182702
0 600000000 2.90695 -0.105965 0.131272 2.89934 -0.107586 0.130793 0.326762 0.394061 3.14231 -0.00655876 0.263132 -0.557625 0.417513 ekf 1 0.247621
0 616666666 2.90728 -0.0918316 0.131617 2.89877 -0.0930398 0.131141 0.308253 0.352727 3.14511 -0.0023556 0.262504 -0.439957 0.392949 ekf 1 0.210449
0 633333333 2.8498 -0.0751264 0.129046 2.8684 -0.0781983 0.129562 0.282425 0.315037 3.11919 0.00353257 0.263774 -0.59924 0.389875 ekf 1 0.188014
0 650000000 2.89337 -0.0612676 0.130986 2.89337 -0.0612676 0.130986 0.167439 0.167439 3.11919 0.00353257 0 -0.59924 0.389875 ekf 0 0.188014
0 666666666 2.85649 -0.044881 0.129944 2.85673 -0.0448893 0.129945 0.135422 0.138269 3.1146 -0.00900578 0.260348 -0.00350714 0.000891305 ekf 1 0.184323
0 683333333 2.87138 -0.0302983 0.130617 2.86661 -0.0351625 0.130501 0.134508 0.136105 3.12416 0.00010883 0.259949 0.195898 0.203982 ekf 1 0.205403
0 700000000 2.84114 -0.0140988 0.129852 2.85061 -0.0199952 0.130037 0.118254 0.128455 3.10965 0.0134641 0.261192 -0.238198 0.471782 ekf 1 0.183003
0 716666666 2.83006 0.00212767 0.129354 2.83581 -0.00242194 0.129505 0.0676603 0.105434 3.09608 0.0251211 0.261718 -0.438833 0.604723 ekf 1 0.263129
0 733333333 2.85786 0.0172233 0.131217 2.84686 0.0142515 0.130705 0.051832 0.0843164 3.10692 0.0362315 0.260994 -0.149923 0.646505 ekf 1 0.236498
0 750000000 2.87551 0.0339268 0.13264 2.87551 0.0339268 0.13264 -0.0396614 -0.0396614 3.10692 0.0362315 0 -0.149923 0.646505 ekf 0 0.236498
0 766666666 2.86236 0.0490128 0.133007 2.86241 0.0489563 0.133007 -0.0429624 -0.0426976 3.12232 0.0378523 0.260142 -0.00129617 0.00142063 ekf 1 0.187732
0 783333333 2.88025 0.0646807 0.134706 2.87451 0.0596058 0.134412 -0.0866392 -0.0653347 3.1334 0.0426667 0.259451 0.241495 0.212084 ekf 1 0.218236
0 800000000 2.88001 0.0803647 0.135009 2.87966 0.0750307 0.135051 -0.125326 -0.0900732 3.13839 0.051663 0.259782 0.260705 0.445029 ekf 1 0.242328
0 816666666 2.8812 0.095859 0.135692 2.8824 0.0919244 0.135714 -0.171284 -0.121473 3.14068 0.0603945 0.260202 0.218282 0.546555 ekf 1 0.190139
0 833333333 2.89974 0.111625 0.137726 2.89491 0.108601 0.137378 -0.205033 -0.154792 3.15196 0.0684903 0.260162 0.340228 0.570183 ekf 1 0.194873
