================================================================================
批量推理结果
模型: /home/minzhi/ws05_fourth_assessment/DeepLearning/best.pth
类别: 3, 4, negative
================================================================================


================================================================================
目录: 3_galaxy_5000_8_1 (共 204 张)
================================================================================
文件名                  预测         置信度        prob[3]      prob[4]      prob[neg]   
--------------------------------------------------------------------------------
roi_100.png          3          0.5584     0.558446     0.321355     0.120199    
roi_101.png          3          0.5583     0.558291     0.321324     0.120384    
roi_102.png          3          0.5579     0.557904     0.321630     0.120466    
roi_103.png          3          0.5585     0.558452     0.321412     0.120135    
roi_104.png          3          0.5582     0.558226     0.321424     0.120350    
roi_105.png          3          0.5590     0.559016     0.321233     0.119751    
roi_106.png          3          0.5582     0.558210     0.321431     0.120360    
roi_107.png          3          0.5577     0.557678     0.321553     0.120770    
roi_108.png          3          0.5585     0.558544     0.321347     0.120109    
roi_109.png          3          0.5577     0.557729     0.321510     0.120761    
roi_110.png          3          0.5578     0.557803     0.321386     0.120811    
roi_111.png          3          0.5584     0.558435     0.321396     0.120169    
roi_112.png          3          0.5592     0.559165     0.321180     0.119654    
roi_113.png          3          0.5585     0.558499     0.321366     0.120134    
roi_114.png          3          0.5584     0.558381     0.321354     0.120265    
roi_115.png          3          0.5578     0.557831     0.321479     0.120690    
roi_116.png          3          0.5588     0.558808     0.321217     0.119975    
roi_117.png          3          0.5593     0.559332     0.321112     0.119556    
roi_118.png          3          0.5584     0.558426     0.321356     0.120218    
roi_119.png          3          0.5586     0.558626     0.321238     0.120136    
roi_120.png          3          0.5581     0.558121     0.321392     0.120487    
roi_121.png          3          0.5577     0.557726     0.321522     0.120752    
roi_122.png          3          0.5589     0.558918     0.321147     0.119935    
roi_123.png          3          0.5579     0.557896     0.321499     0.120606    
roi_124.png          3          0.5580     0.557985     0.321451     0.120564    
roi_125.png          3          0.5584     0.558368     0.321377     0.120255    
roi_126.png          3          0.5581     0.558057     0.321443     0.120500    
roi_127.png          3          0.5579     0.557918     0.321397     0.120685    
roi_128.png          3          0.5584     0.558395     0.321321     0.120284    
roi_129.png          3          0.5581     0.558117     0.321416     0.120467    
roi_130.png          3          0.5585     0.558492     0.321294     0.120214    
roi_131.png          3          0.5578     0.557836     0.321532     0.120632    
roi_132.png          3          0.5585     0.558519     0.321368     0.120113    
roi_133.png          3          0.5584     0.558399     0.321381     0.120219    
roi_134.png          3          0.5577     0.557705     0.321502     0.120793    
roi_135.png          3          0.5585     0.558519     0.321355     0.120125    
roi_136.png          3          0.5583     0.558261     0.321427     0.120312    
roi_137.png          3          0.5578     0.557815     0.321538     0.120647    
roi_138.png          3          0.5585     0.558473     0.321390     0.120137    
roi_139.png          3          0.5574     0.557370     0.321631     0.121000    
roi_140.png          3          0.5581     0.558124     0.321396     0.120480    
roi_141.png          3          0.5583     0.558320     0.321405     0.120275    
roi_142.png          3          0.5588     0.558754     0.321340     0.119906    
roi_143.png          3          0.5584     0.558418     0.321377     0.120205    
roi_144.png          3          0.5583     0.558276     0.321359     0.120365    
roi_145.png          3          0.5586     0.558623     0.321254     0.120124    
roi_146.png          3          0.5579     0.557878     0.321530     0.120592    
roi_147.png          3          0.5590     0.559013     0.321249     0.119738    
roi_148.png          3          0.5582     0.558223     0.321499     0.120278    
roi_149.png          3          0.5585     0.558469     0.321363     0.120168    
roi_150.png          3          0.5578     0.557847     0.321528     0.120625    
roi_151.png          3          0.5583     0.558304     0.321432     0.120264    
roi_152.png          3          0.5584     0.558441     0.321342     0.120217    
roi_153.png          3          0.5581     0.558142     0.321416     0.120442    
roi_154.png          3          0.5587     0.558682     0.321301     0.120017    
roi_155.png          3          0.5586     0.558639     0.321192     0.120169    
roi_156.png          3          0.5584     0.558449     0.321268     0.120284    
roi_157.png          3          0.5580     0.558013     0.321493     0.120494    
roi_158.png          3          0.5577     0.557688     0.321520     0.120792    
roi_159.png          3          0.5578     0.557832     0.321494     0.120674    
roi_160.png          3          0.5580     0.558014     0.321503     0.120483    
roi_161.png          3          0.5588     0.558828     0.321199     0.119973    
roi_162.png          3          0.5589     0.558895     0.321265     0.119841    
roi_163.png          3          0.5588     0.558765     0.321190     0.120046    
roi_164.png          3          0.5578     0.557797     0.321515     0.120688    
