name init coarse refined old_err coarse_err new_err delta improved mutated
2 -0.407588 -0.477401 -0.471752 13.323875 12.456849 12.447653 -0.064164 1 0
2 -0.233949 -0.338669 -0.336353 10.072216 8.459465 8.458038 -0.102404 1 0
2 -0.163480 -0.268200 -0.267652 7.275832 5.697530 5.697506 -0.104172 1 0
2 -0.025699 -0.095512 -0.087998 4.204389 3.830299 3.827450 -0.062299 1 0
2 0.077401 0.077401 0.072254 2.039298 2.039298 2.017500 -0.005147 1 0
2 0.204218 0.204218 0.202881 1.968996 1.968996 1.966674 -0.001338 1 0
2 0.355847 0.355847 0.355706 2.620457 2.620457 2.620469 -0.000141 0 0
2 0.513202 0.513202 0.514647 1.742031 1.742031 1.724056 0.001445 1 0
2 -0.863901 -0.881354 -0.880587 9.662806 9.349003 9.348531 -0.016686 1 0
2 0.661760 0.661760 0.664868 2.629269 2.629269 2.581232 0.003108 1 0
2 -0.641228 -0.658682 -0.659154 8.331912 8.089789 8.089614 -0.017925 1 0
2 -0.491496 -0.508949 -0.513068 9.131526 8.943153 8.935026 -0.021572 1 0
2 -0.301517 -0.336424 -0.343503 7.170607 6.616129 6.593756 -0.041985 1 0
2 -0.185455 -0.255268 -0.255875 6.517897 5.680169 5.680042 -0.070420 1 0
2 -0.089130 -0.176396 -0.183365 4.942302 4.052921 4.045164 -0.094235 1 0
2 -0.021873 -0.056780 -0.063073 3.353577 3.223868 3.220401 -0.041200 1 0
2 0.108666 0.108666 0.103784 2.272934 2.272934 2.261444 -0.004883 1 0
2 0.205472 0.222925 0.218547 1.868412 1.677739 1.650226 0.013075 1 0
2 0.358652 0.358652 0.365618 2.045004 2.045004 1.945788 0.006966 1 0
2 0.458717 0.458717 0.464409 2.790601 2.790601 2.720770 0.005692 1 0
2 -0.869027 -0.886481 -0.884086 8.262075 7.962920 7.954958 -0.015059 1 0
2 0.603186 0.603186 0.609007 3.108280 3.108280 3.008409 0.005821 1 0
2 -0.749091 -0.766544 -0.763720 7.557305 7.309997 7.300366 -0.014629 1 0
2 0.718903 0.718903 0.725927 4.737158 4.737158 4.600499 0.007024 1 0
2 -0.628585 -0.646038 -0.641494 5.235602 5.062215 5.035094 -0.012909 1 0
2 -0.512109 -0.529562 -0.524302 4.977487 4.851428 4.819391 -0.012193 1 0
2 -0.427234 -0.427234 -0.434672 3.411328 3.411328 3.362675 -0.007437 1 0
2 -0.306362 -0.306362 -0.315566 2.738018 2.738018 2.684486 -0.009204 1 0
2 -0.224151 -0.171791 -0.165950 4.484047 4.101962 4.098499 0.058200 1 0
2 -0.211294 0.085412 0.080020 7.548822 4.171050 4.165815 0.291314 1 1
2 0.259054 0.259054 0.256623 3.565578 3.565578 3.560970 -0.002431 1 0
2 0.373078 0.390531 0.381952 6.477985 6.466991 6.403296 0.008874 1 0
2 0.458924 0.476377 0.479410 12.194397 11.969750 11.964872 0.020486 1 0
2 0.567919 0.585372 0.590727 12.415322 12.061005 12.039012 0.022808 1 0
2 -0.875154 -0.892607 -0.888641 9.790805 9.545379 9.519759 -0.013486 1 0
2 0.680956 0.698409 0.698252 10.381942 10.026882 10.026900 0.017297 1 0
2 -0.735520 -0.752973 -0.752351 10.619270 10.359357 10.358894 -0.016831 1 0
2 0.799112 0.816565 0.814203 10.224518 9.897700 9.885466 0.015091 1 0
2 -0.571742 -0.484476 -0.479969 30.841911 29.001583 28.998020 0.091773 1 0
2 -0.483802 -0.501255 -0.495816 5.225360 5.126398 5.093594 -0.012015 1 0
2 -0.354596 -0.354596 -0.360692 2.451031 2.451031 2.405229 -0.006096 1 0
2 -0.199726 -0.199726 -0.203664 2.779993 2.779993 2.774945 -0.003937 1 0
2 -0.081642 -0.116549 -0.108063 2.654359 2.534408 2.517254 -0.026420 1 0
2 -0.012655 -0.012655 -0.008815 1.293900 1.293900 1.291305 0.003840 1 0
2 0.145882 0.145882 0.144397 1.518886 1.518886 1.509098 -0.001485 1 0
2 0.269940 0.269940 0.275701 2.526785 2.526785 2.495692 0.005761 1 0
2 0.429319 0.429319 0.440357 2.395502 2.395502 2.249101 0.011038 1 0
2 -0.908413 -0.925866 -0.928572 11.066115 10.678795 10.670708 -0.020160 1 0
2 0.560336 0.560336 0.566812 2.680310 2.680310 2.603084 0.006475 1 0
2 -0.771301 -0.788754 -0.794983 10.945448 10.548469 10.516952 -0.023682 1 0
2 0.699934 0.699934 0.702158 2.494937 2.494937 2.417325 0.002224 1 0
2 -0.641885 -0.659338 -0.666610 10.258399 9.897730 9.860296 -0.024725 1 0
2 0.827658 0.827658 0.829977 4.113552 4.113552 4.078218 0.002319 1 0
2 -0.504170 -0.539077 -0.531804 9.113361 8.762608 8.730717 -0.027634 1 0
2 -0.381987 -0.416894 -0.412956 7.180405 6.773100 6.765660 -0.030969 1 0
2 -0.252733 -0.305093 -0.303118 7.301521 6.622762 6.621564 -0.050385 1 0
2 -0.145441 -0.232707 -0.227197 7.172749 5.916419 5.905403 -0.081757 1 0
2 -0.053296 -0.123109 -0.117507 4.330328 3.636526 3.628136 -0.064211 1 0
2 0.066710 0.084163 0.084829 2.254806 2.160784 2.160597 0.018119 1 0
2 0.197075 0.197075 0.203362 2.176769 2.176769 2.144515 0.006288 1 0
2 0.305477 0.305477 0.307516 2.582098 2.582098 2.577266 0.002040 1 0
2 0.520010 0.520010 0.524398 2.151394 2.151394 2.095391 0.004388 1 0
2 0.632838 0.632838 0.636940 3.346972 3.346972 3.306785 0.004102 1 0
2 -0.761930 -0.779383 -0.774262 8.109776 7.945206 7.911192 -0.012332 1 0
2 0.750979 0.750979 0.748626 3.183564 3.183564 3.140597 -0.002352 1 0
2 -0.475477 -0.492930 -0.490971 6.541377 6.366763 6.363090 -0.015493 1 0
2 -0.296238 -0.331145 -0.327324 6.363939 5.981335 5.973232 -0.031086 1 0
2 -0.175608 -0.227968 -0.222141 5.668332 4.934485 4.910927 -0.046534 1 0
2 -0.104778 -0.157138 -0.154970 4.873729 4.229385 4.228019 -0.050192 1 0
2 0.016135 -0.053678 -0.045068 3.626274 3.101757 3.083444 -0.061204 1 0
2 0.067013 0.084467 0.082467 2.902278 2.871394 2.870904 0.015453 1 0
2 0.181201 0.198654 0.201672 1.883841 1.471201 1.433989 0.020471 1 0
2 0.330761 0.330761 0.341384 1.350358 1.350358 1.169919 0.010622 1 0
2 0.453257 0.453257 0.460143 1.816145 1.816145 1.633969 0.006886 1 0
2 0.553049 0.570502 0.564454 2.796696 2.762744 2.641867 0.011405 1 0
2 -0.784788 -0.784788 -0.790634 2.821541 2.821541 2.747786 -0.005846 1 0
2 0.691682 0.709136 0.702816 3.910541 3.884049 3.724981 0.011134 1 0
2 -0.665407 -0.665407 -0.669880 2.705737 2.705737 2.639871 -0.004473 1 0
2 0.828818 0.846271 0.839719 4.393477 4.354211 4.262346 0.010901 1 0
2 -0.538942 -0.538942 -0.542823 1.351436 1.351436 1.278893 -0.003882 1 0
2 -0.438453 -0.438453 -0.440921 2.144865 2.144865 2.132717 -0.002467 1 0
2 -0.288416 -0.288416 -0.290800 1.840796 1.840796 1.831179 -0.002384 1 0
2 -0.182050 -0.164597 -0.170136 2.357963 2.322650 2.311602 0.011914 1 0
2 -0.017083 0.035277 0.041485 2.588921 2.221517 2.207220 0.058568 1 0
2 0.137837 0.172743 0.166492 2.851802 2.604429 2.585972 0.028655 1 0
2 0.277480 0.277480 0.286065 3.768800 3.768800 3.711188 0.008585 1 0
2 0.411966 0.429419 0.423540 4.022759 4.015070 3.854230 0.011575 1 0
2 0.530593 0.548047 0.543555 4.880458 4.803600 4.694109 0.012962 1 0
2 -0.896231 -0.913685 -0.907128 7.877901 7.733141 7.644074 -0.010896 1 0
2 0.663679 0.663679 0.672695 7.178918 7.178918 7.076925 0.009016 1 0
2 -0.765945 -0.783398 -0.778876 7.324056 7.119161 7.076373 -0.012931 1 0
2 0.785086 0.785086 0.791630 8.344510 8.344510 8.288128 0.006544 1 0
2 -0.645328 -0.662781 -0.659411 7.044409 6.833665 6.820325 -0.014083 1 0
2 0.882776 0.882776 0.887741 8.799649 8.799649 8.764045 0.004965 1 0
2 -0.490284 -0.507737 -0.506052 6.834939 6.657499 6.655746 -0.015768 1 0
2 -0.335182 -0.352635 -0.359955 5.901429 5.644878 5.615289 -0.024774 1 0
2 -0.197921 -0.232827 -0.241071 5.705353 5.220835 5.195826 -0.043150 1 0
2 -0.090967 -0.143327 -0.142439 4.741541 3.985258 3.984828 -0.051472 1 0
2 -0.026029 -0.060936 -0.064219 3.540988 3.350674 3.349078 -0.038190 1 0
2 0.058339 0.075793 0.070757 2.029337 1.925469 1.914225 0.012418 1 0
2 0.161327 0.178781 0.178654 2.380331 2.241482 2.241457 0.017326 1 0
2 0.301666 0.319119 0.321750 2.925817 2.657801 2.647677 0.020084 1 0
2 0.477102 0.477102 0.483429 2.783494 2.783494 2.656215 0.006327 1 0
2 -0.871630 -0.889084 -0.894313 12.081467 11.663549 11.638717 -0.022682 1 0
2 0.611696 0.611696 0.618652 3.522448 3.522448 3.398069 0.006956 1 0
2 -0.698159 -0.715612 -0.723064 10.751881 10.380635 10.341541 -0.024905 1 0
2 0.736096 0.736096 0.742867 4.713151 4.713151 4.615088 0.006771 1 0
2 -0.551943 -0.586850 -0.584964 10.924042 10.433393 10.431733 -0.033021 1 0
2 0.884776 0.884776 0.889128 4.605616 4.605616 4.548181 0.004352 1 0
2 -0.455436 -0.490342 -0.489574 9.565271 9.085053 9.084877 -0.034138 1 0
2 -0.326145 -0.378505 -0.376054 8.818171 8.089867 8.087653 -0.049909 1 0
2 -0.200328 -0.270141 -0.273658 7.620996 6.481720 6.477122 -0.073330 1 0
2 -0.088078 -0.175345 -0.177479 7.096022 5.896250 5.895140 -0.089401 1 0
2 0.104106 -0.122787 -0.122565 6.312259 5.346795 5.346799 -0.226670 1 0
2 0.214357 0.196904 0.195344 4.514526 4.202150 4.198228 -0.019013 1 0
2 0.295684 0.278230 0.284900 2.722129 2.675284 2.611366 -0.010784 1 0
2 0.426106 0.426106 0.425811 2.473181 2.473181 2.473054 -0.000295 1 0
2 0.537719 0.537719 0.539863 1.352677 1.352677 1.332532 0.002145 1 0
2 -0.839453 -0.856906 -0.855244 9.119071 8.859606 8.856689 -0.015791 1 0
2 0.643084 0.643084 0.643954 2.168196 2.168196 2.164399 0.000871 1 0
2 -0.880373 -0.897826 -0.890266 11.718537 11.694812 11.606083 -0.009894 1 0
2 0.794892 0.794892 0.797927 3.271449 3.271449 3.223440 0.003035 1 0
2 -0.582065 -0.599519 -0.604420 10.170278 9.926512 9.912367 -0.022354 1 0
2 -0.498977 -0.516430 -0.517008 8.320293 8.163166 8.162975 -0.018031 1 0
2 -0.236345 -0.306158 -0.304705 8.833816 7.999032 7.998317 -0.068360 1 0
2 -0.176824 -0.246637 -0.241021 5.712726 5.086204 5.077054 -0.064197 1 0
2 -0.086249 -0.156062 -0.155484 4.695814 4.178734 4.178660 -0.069235 1 0
2 -0.000622 -0.035528 -0.037429 3.288291 3.177217 3.176926 -0.036807 1 0
2 0.066027 0.066027 0.072224 2.053176 2.053176 2.034357 0.006197 1 0
2 0.208578 0.208578 0.216859 2.127295 2.127295 2.069054 0.008281 1 0
2 0.338118 0.355572 0.352079 2.277769 2.071924 2.028490 0.013961 1 0
2 -0.858867 -0.876320 -0.874336 8.588252 8.304285 8.298797 -0.015469 1 0
2 0.616943 0.616943 0.622477 2.827436 2.827436 2.730588 0.005534 1 0
2 -0.717271 -0.734724 -0.731863 7.552919 7.335191 7.326532 -0.014592 1 0
2 0.747285 0.747285 0.751186 4.658625 4.658625 4.603789 0.003901 1 0
2 -0.625760 -0.643213 -0.637294 6.381028 6.285946 6.251204 -0.011535 1 0
